  Run_nr	    Time	   Alpha	Delta_Pb	   P_bar	       T	     rpm	     rho	    P001	    P002	    P003	    P004	    P005	    P006	    P007	    P008	    P009	    P010	    P011	    P012	    P013	    P014	    P015	    P016	    P017	    P018	    P019	    P020	    P021	    P022	    P023	    P024	    P025	    P026	    P027	    P028	    P029	    P030	    P031	    P032	    P033	    P034	    P035	    P036	    P037	    P038	    P039	    P040	    P041	    P042	    P043	    P044	    P045	    P046	    P047	    P048	    P049	    P050	    P051	    P052	    P053	    P054	    P055	    P056	    P057	    P058	    P059	    P060	    P061	    P062	    P063	    P064	    P065	    P066	    P067	    P068	    P069	    P070	    P071	    P072	    P073	    P074	    P075	    P076	    P077	    P078	    P079	    P080	    P081	    P082	    P083	    P084	    P085	    P086	    P087	    P088	    P089	    P090	    P091	    P092	    P093	    P094	    P095	    P096	    P097	    P098	    P099	    P100	    P101	    P102	    P103	    P104	    P105	    P106	    P107	    P108	    P109	    P110	    P111	    P112	    P113
       /	   H:M:S	 degrees	      Pa	      Pa	 degr._C	   1/min	  kg/m^3	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa
      41	 12:59:13	   9.500	   88.55	 1012.08	   22.37	  719.77	   1.193	 -745.69	 -438.74	 -459.64	 -398.76	 -291.86	 -242.76	 -213.56	 -195.65	 -179.39	 -161.59	 -139.84	 -133.69	 -122.59	 -112.63	  -97.28	  -85.27	  -69.22	  -58.17	  -47.75	  -33.90	  -25.00	  -12.59	   -1.67	    5.47	   14.78	 -744.78	   67.18	  179.23	  152.73	  116.69	   94.97	   78.38	   67.66	   59.62	   52.73	   47.04	   42.09	   37.60	   34.52	   31.35	   28.67	   26.47	   25.20	   23.95	   23.62	   24.05	   24.39	   24.85	   14.78	  184.34	  184.85	  185.10	  183.15	  183.77	  184.60	  184.62	  184.17	  184.98	  184.37	  184.44	  183.49	  184.16	  183.92	  183.98	  184.69	  183.03	  182.46	  184.86	  185.45	  184.39	  183.34	  181.06	  168.63	  151.31	  136.97	  138.25	  152.79	  169.71	  181.21	  182.43	  185.23	  185.60	  183.14	  184.98	  185.00	  184.23	  184.53	  184.19	  185.71	  184.45	  185.58	  185.00	  182.97	  184.17	  185.80	  184.04	  185.15	    6.69	   11.55	   11.92	   10.90	   10.28	    9.40	   10.99	    9.39	    8.82	    7.71	    7.69	   11.98	    0.13	    0.04	   -0.06	   -0.07
      42	 12:59:26	   9.000	   90.14	 1012.06	   22.37	  720.15	   1.193	 -687.01	 -445.64	 -439.34	 -355.54	 -299.90	 -262.96	 -220.75	 -193.02	 -175.77	 -160.04	 -139.86	 -135.55	 -124.71	 -116.05	 -100.47	  -87.95	  -72.34	  -61.02	  -50.32	  -36.65	  -27.05	  -13.24	   -1.15	    7.39	   18.62	 -685.95	   86.07	  183.28	  151.33	  114.44	   92.29	   76.07	   65.26	   57.38	   50.66	   45.09	   40.25	   36.01	   33.09	   30.10	   27.61	   25.60	   24.59	   23.55	   23.47	   24.26	   24.96	   25.84	   18.62	  188.01	  188.62	  188.71	  187.19	  187.34	  188.30	  188.39	  187.82	  188.71	  188.22	  188.42	  187.33	  188.09	  187.73	  187.53	  188.58	  186.53	  186.42	  188.74	  189.16	  188.65	  187.52	  187.50	  180.01	  163.99	  145.19	  140.79	  152.95	  170.36	  183.92	  186.17	  189.01	  189.63	  186.21	  188.90	  189.31	  188.15	  188.56	  188.19	  189.73	  188.68	  189.65	  189.35	  186.92	  188.27	  189.90	  187.98	  189.30	    6.73	   11.56	   11.96	   10.93	   10.28	    9.62	   11.06	    9.46	    8.84	    7.70	    7.71	   11.97	    0.03	    0.06	   -0.04	   -0.08
      43	 12:59:36	   8.000	   88.37	 1012.10	   22.37	  720.06	   1.193	 -533.85	 -399.22	 -380.70	 -316.67	 -269.13	 -232.73	 -206.83	 -192.03	 -177.97	 -160.07	 -135.52	 -127.19	 -116.71	 -109.52	  -96.44	  -84.59	  -69.83	  -59.42	  -49.61	  -35.96	  -26.78	  -12.80	   -0.43	    8.95	   20.38	 -531.04	  114.87	  179.72	  141.03	  103.42	   83.15	   66.97	   58.10	   50.91	   44.77	   39.68	   35.41	   31.58	   29.08	   26.53	   24.38	   22.66	   22.07	   21.44	   21.75	   22.84	   23.96	   25.22	   20.38	  186.35	  186.86	  187.05	  185.46	  185.69	  186.47	  186.58	  186.04	  186.97	  186.40	  186.55	  185.55	  186.13	  185.97	  185.86	  186.69	  184.79	  184.72	  187.01	  187.49	  186.63	  185.78	  186.70	  184.50	  177.13	  158.49	  144.23	  146.51	  160.80	  177.65	  183.58	  187.42	  186.18	  183.00	  185.55	  185.65	  184.78	  185.19	  184.78	  186.20	  185.04	  186.20	  185.64	  183.76	  184.81	  186.47	  184.64	  185.86	    7.05	   11.40	   11.82	   10.85	   10.29	    9.85	   11.15	    9.55	    8.98	    7.98	    7.97	   11.77	   -0.20	    0.05	   -0.02	   -0.04
      44	 12:59:56	   7.000	   90.03	 1012.11	   22.39	  719.84	   1.193	 -327.31	 -294.62	 -306.56	 -271.34	 -237.48	 -207.48	 -186.55	 -175.88	 -161.86	 -152.03	 -134.86	 -132.55	 -126.39	 -117.27	  -92.62	  -78.01	  -64.96	  -55.94	  -47.27	  -34.36	  -25.78	  -11.87	    0.92	   10.42	   23.69	 -326.01	  154.96	  174.88	  127.77	   90.29	   69.96	   57.14	   48.26	   42.05	   36.60	   32.39	   28.66	   25.33	   23.55	   21.50	   19.93	   18.74	   18.61	   18.60	   19.45	   21.04	   22.77	   24.49	   23.69	  188.24	  188.76	  188.88	  187.49	  187.63	  188.60	  188.54	  188.05	  188.90	  188.46	  188.56	  187.40	  188.23	  187.95	  187.83	  188.78	  186.75	  186.84	  188.98	  189.36	  188.82	  187.81	  188.90	  188.57	  187.60	  181.54	  163.99	  150.12	  151.64	  166.43	  179.81	  188.47	  188.90	  186.06	  188.33	  188.58	  187.43	  187.76	  187.57	  189.02	  188.04	  189.02	  188.47	  186.16	  187.65	  189.10	  187.35	  188.76	    6.84	   10.79	   11.23	   10.32	    9.82	    9.72	   10.72	    9.19	    8.69	    7.75	    7.72	   11.11	   -0.46	    0.05	   -0.03	   -0.04
      45	 13:00:05	   6.000	   89.37	 1012.12	   22.39	  719.95	   1.193	 -170.18	 -234.76	 -238.36	 -225.31	 -206.06	 -183.16	 -166.49	 -157.35	 -145.10	 -134.83	 -119.78	 -117.07	 -111.73	 -108.69	 -102.14	  -99.18	  -69.31	  -44.51	  -38.71	  -28.69	  -21.03	   -9.15	    2.63	   12.02	   25.41	 -165.71	  173.71	  162.58	  111.57	   76.48	   58.18	   46.88	   39.05	   33.65	   29.28	   25.73	   22.59	   20.03	   18.75	   17.14	   16.08	   15.37	   15.67	   16.09	   17.36	   19.37	   21.47	   23.46	   25.41	  186.65	  187.24	  187.41	  185.54	  186.09	  186.84	  186.88	  186.22	  187.35	  186.83	  187.09	  185.88	  186.43	  186.34	  186.34	  187.10	  185.18	  185.06	  187.31	  187.83	  186.93	  186.25	  187.35	  186.91	  186.29	  186.45	  180.20	  166.53	  153.78	  154.33	  163.52	  177.49	  184.89	  183.65	  186.55	  186.85	  185.87	  186.09	  185.87	  187.41	  186.21	  187.33	  186.88	  184.70	  185.87	  187.54	  185.66	  187.13	    7.75	   11.15	   11.61	   10.77	   10.33	   10.53	   11.12	    9.59	    9.40	    8.61	    8.55	   11.37	   -0.11	    0.05	   -0.02	   -0.02
      46	 13:00:15	   5.000	   88.05	 1012.18	   22.39	  719.80	   1.193	  -33.19	 -147.40	 -174.25	 -180.82	 -173.66	 -157.96	 -144.66	 -139.84	 -129.24	 -120.17	 -106.53	 -105.08	  -98.57	  -95.40	  -88.16	  -86.44	  -82.87	  -77.85	  -34.75	  -20.06	  -15.71	   -6.17	    4.89	   13.36	   25.23	  -30.26	  180.76	  144.19	   92.21	   58.81	   45.35	   34.92	   28.74	   24.49	   20.96	   18.15	   15.84	   13.90	   13.13	   12.05	   11.51	   11.28	   12.03	   12.83	   14.52	   16.94	   19.38	   21.62	   25.23	  184.49	  185.09	  185.31	  183.40	  183.92	  184.62	  184.59	  184.06	  185.11	  184.38	  184.55	  183.61	  183.94	  184.03	  184.06	  184.76	  182.90	  182.64	  184.93	  185.51	  184.43	  183.92	  185.13	  184.76	  184.52	  184.51	  183.16	  179.22	  166.18	  154.04	  153.32	  163.66	  174.93	  178.13	  183.91	  184.40	  183.76	  184.08	  183.79	  185.23	  183.96	  185.14	  184.60	  182.57	  183.71	  185.41	  183.52	  184.90	    8.20	   11.04	   11.50	   10.74	   10.40	   10.80	   11.16	    9.69	    9.49	    8.97	    8.92	   11.13	    0.18	    0.05	   -0.02	   -0.04
      47	 13:00:22	   4.000	   88.49	 1012.17	   22.39	  720.28	   1.193	   54.74	 -103.06	 -129.93	 -151.55	 -152.65	 -141.80	 -132.56	 -130.44	 -122.49	 -113.61	 -101.04	 -100.11	  -93.70	  -90.61	  -81.95	  -79.52	  -75.15	  -74.57	  -69.39	  -22.68	  -10.86	   -3.13	    6.42	   14.15	   24.50	   56.18	  183.02	  125.90	   74.44	   44.88	   32.57	   24.26	   19.19	   15.79	   13.17	   11.01	    9.20	    7.80	    7.44	    6.94	    6.71	    7.00	    8.18	    9.39	   11.50	   14.29	   17.04	   19.67	   24.50	  186.81	  187.43	  187.45	  185.76	  186.20	  186.94	  186.96	  186.14	  187.37	  186.91	  187.06	  185.99	  186.35	  186.43	  186.31	  187.21	  185.31	  185.30	  187.43	  187.99	  187.15	  186.34	  187.44	  187.18	  186.55	  186.97	  186.02	  185.05	  179.32	  165.84	  156.79	  159.65	  174.22	  177.07	  184.18	  186.14	  185.68	  186.05	  185.76	  187.36	  186.06	  187.23	  186.70	  184.71	  185.80	  187.50	  185.60	  187.03	    8.23	   10.78	   11.23	   10.50	   10.19	   10.51	   10.82	    9.81	    9.41	    8.96	    8.90	   10.84	   -0.15	    0.06	   -0.01	   -0.03
      48	 13:00:37	   3.000	   88.06	 1012.11	   22.40	  719.96	   1.193	  125.33	  -45.25	  -77.91	 -113.19	 -124.73	 -119.45	 -114.15	 -113.71	 -108.23	 -101.44	  -90.71	  -90.61	  -84.10	  -81.87	  -72.59	  -68.13	  -64.26	  -64.17	  -65.11	  -55.37	  -12.68	    2.04	    9.73	   15.82	   24.09	  125.86	  170.81	   99.36	   52.61	   28.66	   19.44	   13.44	    9.40	    7.10	    5.41	    4.05	    3.12	    2.15	    2.43	    2.44	    2.79	    3.51	    5.17	    6.82	    9.31	   12.46	   15.46	   18.10	   24.09	  184.90	  185.52	  185.67	  183.89	  184.35	  185.03	  184.98	  184.29	  185.52	  184.78	  184.98	  184.13	  184.34	  184.41	  184.47	  185.18	  183.40	  183.10	  185.42	  185.85	  182.47	  173.73	  162.18	  155.53	  158.71	  168.42	  176.32	  182.34	  184.63	  184.78	  183.58	  185.81	  186.94	  183.78	  186.30	  186.42	  185.54	  185.87	  185.50	  187.02	  185.83	  186.96	  186.32	  184.29	  185.54	  187.13	  185.24	  186.72	    8.11	   10.47	   10.91	   10.21	    9.95	    9.92	   10.30	    9.90	    9.46	    8.81	    8.73	   10.48	   -0.07	    0.07	   -0.00	    0.01
      49	 13:00:48	   2.000	   88.23	 1012.11	   22.40	  720.01	   1.193	  166.33	    3.84	  -34.64	  -79.89	  -99.80	 -100.69	  -98.22	 -100.23	  -97.06	  -91.27	  -81.51	  -82.27	  -76.69	  -75.38	  -65.18	  -59.93	  -56.23	  -55.21	  -56.02	  -54.30	  -41.53	    1.42	   13.36	   18.08	   23.30	  165.49	  150.62	   71.51	   32.54	   13.12	    7.43	    3.65	    0.76	   -0.36	   -1.23	   -1.79	   -1.92	   -2.37	   -1.52	   -0.94	   -0.08	    1.17	    3.33	    5.45	    8.40	   11.85	   14.93	   17.42	   23.30	  185.82	  186.39	  186.53	  184.98	  185.24	  185.96	  185.98	  185.24	  186.47	  185.91	  186.11	  185.09	  185.37	  185.43	  185.51	  186.13	  184.43	  184.13	  186.45	  187.21	  185.76	  182.52	  174.82	  162.80	  157.16	  161.55	  169.54	  178.52	  183.73	  185.34	  184.44	  186.71	  187.48	  184.21	  186.76	  186.83	  185.99	  186.27	  185.93	  187.56	  186.32	  187.48	  186.86	  184.69	  186.06	  187.65	  185.78	  187.25	    8.56	   10.45	   10.91	   10.29	   10.13	   10.04	   10.69	   10.18	    9.82	    9.22	    9.14	   10.38	    0.56	    0.05	   -0.02	   -0.01
      50	 13:00:55	   1.000	   88.72	 1012.10	   22.40	  719.86	   1.193	  184.43	   48.89	    4.31	  -48.80	  -76.63	  -82.06	  -83.92	  -88.36	  -87.91	  -83.54	  -75.61	  -75.46	  -72.60	  -71.52	  -61.22	  -55.55	  -50.53	  -47.52	  -48.93	  -46.78	  -47.55	  -30.27	   12.89	   19.85	   19.33	  185.23	  111.88	   32.89	    5.39	   -7.05	   -8.84	  -10.50	  -11.19	  -11.01	  -10.69	  -10.20	   -9.46	   -9.17	   -7.64	   -6.22	   -4.78	   -2.73	    0.13	    2.94	    6.36	    9.93	   12.73	   14.52	   19.33	  188.04	  188.60	  188.67	  187.36	  187.46	  188.33	  188.45	  187.41	  188.61	  188.30	  188.49	  187.35	  187.91	  187.80	  187.74	  188.63	  186.53	  186.60	  188.83	  189.51	  188.70	  187.36	  185.78	  176.17	  164.63	  158.86	  162.45	  172.24	  180.28	  185.84	  186.23	  189.06	  188.08	  185.58	  187.48	  187.57	  186.62	  187.01	  186.70	  188.19	  187.07	  188.29	  187.50	  185.38	  186.64	  188.28	  186.52	  188.00	    8.11	    9.60	   10.15	    9.60	    9.57	    9.58	   10.45	    9.80	    9.30	    8.80	    8.77	    9.53	   -0.06	    0.06	   -0.06	   -0.18
      51	 13:01:01	   0.000	   88.68	 1012.12	   22.41	  719.53	   1.193	  180.92	   84.27	   42.66	  -15.06	  -49.65	  -61.78	  -65.66	  -72.86	  -73.86	  -71.93	  -63.86	  -65.56	  -63.39	  -63.43	  -54.41	  -47.92	  -43.17	  -38.66	  -39.26	  -36.40	  -37.70	  -36.28	    2.25	   22.27	   19.83	  181.47	   54.23	   -9.48	  -24.07	  -26.41	  -24.92	  -22.95	  -22.25	  -20.65	  -19.23	  -17.87	  -16.35	  -15.38	  -13.24	  -11.29	   -9.34	   -6.82	   -3.61	   -0.51	    2.74	    5.95	    8.28	    9.57	   19.83	  185.48	  186.05	  186.10	  184.42	  184.84	  185.65	  185.60	  184.83	  185.99	  185.47	  185.60	  184.67	  184.94	  185.06	  185.02	  185.90	  184.14	  183.88	  186.08	  186.72	  185.64	  184.70	  184.34	  179.93	  173.18	  163.11	  158.50	  162.83	  168.98	  176.02	  179.32	  184.56	  185.80	  183.07	  185.48	  185.33	  184.71	  185.01	  184.68	  186.27	  184.95	  186.10	  185.40	  183.56	  184.57	  186.23	  184.61	  185.75	    8.85	    9.56	   10.10	    9.64	    9.69	    8.98	   10.29	    9.47	    9.82	    9.38	    9.34	    9.34	    0.54	    0.07	   -0.01	   -0.04
      52	 13:01:10	  -1.000	   89.40	 1012.10	   22.41	  720.34	   1.193	  161.39	  116.32	   80.60	   16.86	  -23.44	  -39.09	  -47.89	  -57.13	  -58.88	  -58.57	  -54.27	  -56.66	  -54.68	  -56.50	  -48.16	  -41.78	  -36.33	  -30.45	  -30.18	  -27.04	  -29.11	  -26.97	  -16.80	   21.94	   18.78	  160.69	  -26.84	  -64.55	  -58.57	  -52.56	  -44.66	  -40.15	  -36.05	  -32.99	  -30.18	  -27.90	  -25.58	  -23.69	  -21.04	  -18.62	  -16.13	  -13.28	   -9.86	   -6.76	   -3.87	   -0.74	    1.43	    2.82	   18.78	  185.51	  186.07	  186.28	  184.42	  185.06	  185.80	  185.73	  185.00	  186.13	  185.59	  185.72	  184.91	  185.02	  185.15	  185.11	  185.86	  184.18	  183.95	  186.26	  186.80	  185.70	  185.01	  185.86	  183.92	  180.55	  172.14	  163.11	  161.50	  163.98	  169.67	  174.65	  181.97	  185.10	  184.86	  186.10	  186.23	  185.43	  185.75	  185.40	  187.00	  185.75	  187.04	  186.28	  184.24	  185.49	  186.99	  185.32	  186.47	    8.49	    8.56	    9.16	    8.84	    9.00	    8.57	    9.67	    9.11	    9.28	    9.01	    8.99	    8.27	    0.08	    0.05	   -0.02	   -0.13
      53	 13:01:18	  -2.000	   88.39	 1012.08	   22.41	  719.63	   1.193	  130.25	  132.29	  104.52	   36.54	   -5.23	  -22.50	  -33.77	  -45.90	  -48.82	  -51.04	  -44.43	  -49.47	  -49.63	  -51.00	  -44.04	  -37.97	  -30.72	  -25.85	  -24.10	  -20.74	  -21.30	  -19.23	  -15.49	    0.95	   20.01	  130.41	 -101.76	 -108.15	  -85.41	  -70.34	  -58.80	  -51.14	  -45.36	  -40.95	  -37.20	  -33.98	  -30.96	  -28.42	  -25.35	  -22.55	  -19.80	  -16.82	  -13.43	  -10.45	   -7.54	   -3.83	    1.44	    9.61	   20.01	  187.94	  188.47	  188.50	  187.18	  187.42	  188.11	  188.24	  187.45	  188.46	  188.05	  188.30	  187.24	  187.70	  187.67	  187.66	  188.39	  186.46	  186.33	  188.67	  189.14	  188.51	  187.56	  188.58	  187.95	  186.36	  182.89	  175.89	  169.70	  164.70	  165.71	  170.81	  179.84	  183.02	  183.22	  186.67	  187.18	  186.24	  186.64	  186.30	  187.96	  186.63	  187.78	  187.16	  185.15	  186.36	  187.85	  186.18	  187.53	    9.54	    9.35	    9.94	    9.58	    9.78	   10.15	   10.54	    8.46	    9.83	   10.04	   10.02	    8.94	    1.04	    0.08	    0.02	   -0.05
      54	 13:01:26	  -3.000	   88.66	 1012.06	   22.40	  719.88	   1.193	   72.13	  141.57	  127.89	   59.00	   15.19	   -5.91	  -17.86	  -33.42	  -37.21	  -40.95	  -35.83	  -41.92	  -41.80	  -44.69	  -38.07	  -33.03	  -25.89	  -21.54	  -18.84	  -14.94	  -15.02	  -12.61	  -10.56	  -10.67	   19.34	   72.83	 -201.44	 -161.38	 -118.65	  -92.56	  -75.13	  -64.73	  -56.85	  -50.85	  -45.90	  -41.63	  -37.90	  -34.99	  -31.25	  -28.12	  -25.19	  -22.13	  -18.38	  -13.86	   -7.77	   -0.28	    7.27	   14.56	   19.34	  185.30	  185.84	  186.03	  184.23	  184.82	  185.42	  185.54	  184.69	  185.87	  185.29	  185.55	  184.56	  184.80	  184.92	  184.96	  185.72	  183.88	  183.75	  185.97	  186.49	  185.53	  184.89	  186.07	  185.60	  185.08	  184.56	  180.84	  174.53	  165.16	  158.53	  160.42	  170.11	  177.80	  180.26	  184.73	  185.35	  184.72	  185.04	  184.74	  186.21	  184.92	  186.28	  185.58	  183.63	  184.68	  186.32	  184.56	  185.79	    9.40	    8.74	    9.36	    9.06	    9.30	   10.04	   10.02	    9.07	    9.74	    9.78	    9.75	    8.32	    0.69	    0.06	    0.01	   -0.00
      55	 13:01:32	  -3.920	   89.58	 1012.05	   22.40	  720.13	   1.193	   15.08	  143.31	  142.40	   76.74	   26.21	    2.50	   -9.63	  -24.12	  -28.52	  -32.65	  -28.74	  -36.18	  -37.36	  -41.06	  -35.13	  -30.40	  -22.72	  -19.00	  -16.17	  -11.59	  -10.85	   -8.09	   -5.92	   -7.03	   17.27	   17.47	 -283.94	 -205.78	 -146.92	 -112.92	  -91.61	  -76.35	  -65.80	  -56.77	  -50.44	  -45.90	  -41.98	  -38.44	  -34.47	  -30.76	  -27.33	  -23.54	  -19.07	  -13.91	   -7.98	   -1.14	    5.64	   12.13	   17.27	  186.42	  186.88	  187.12	  185.52	  185.87	  186.47	  186.64	  185.68	  186.73	  186.53	  186.63	  185.68	  185.98	  186.04	  186.05	  186.83	  184.89	  184.92	  187.13	  187.56	  186.79	  185.96	  187.11	  186.77	  186.14	  186.38	  184.49	  180.91	  172.76	  161.87	  155.23	  160.45	  166.77	  175.62	  184.77	  187.69	  187.24	  187.78	  187.43	  188.97	  187.99	  188.99	  188.40	  186.30	  187.54	  188.94	  187.25	  188.68	    9.62	    8.39	    9.03	    8.81	    9.14	   10.05	    9.89	    9.00	    9.18	    9.94	    9.94	    7.88	    0.83	    0.06	    0.00	   -0.00
